SMILES,DropoutMLP_AtomPair_FFV_mean,DropoutMLP_AtomPair_FFV_std,DropoutMLP_Morgan_Tg_mean,DropoutMLP_Morgan_Tg_std,DropoutMLP_Morgan_density_mean,DropoutMLP_Morgan_density_std,QuantileRandomForest_TopologicalTorsion_CH4_msa_log10_mean,QuantileRandomForest_TopologicalTorsion_CH4_msa_log10_std,DropoutMLP_AtomPair_CO2_msa_log10_mean,DropoutMLP_AtomPair_CO2_msa_log10_std
*c1cc(C)c(-c2ccc(*)c(-c3ccc(O)cc3)c2)cc1Br,0.4058912992477417,0.0212375506758689,237.8177947998047,30.17256050109863,1.256163477897644,0.0815708398818969,-1.2218487496163564,2.2611976975620616,1.5096688270568848,0.1925773024559021
*c1ccc(-c2cc(*)c(-c3ccc(CC)cc3)c(Br)c2)cc1,0.4172006845474243,0.0233832210302352,288.6667785644531,35.31985855102539,1.2213705778121948,0.076666548848152,-1.0726296369609765,1.8970917751739829,1.9449567794799805,0.3050256639719008
*/C(C#N)=C/c1c([2H])c(I)c(-c2ccc(*)cc2)c(C)c1C,0.4158048927783966,0.0224664494395255,382.9527587890625,43.4393585205078,1.2112791538238523,0.0673125147819518,-0.585026652029182,1.8140028198597231,2.3318469524383545,0.2993837118148803
*c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)c3ccccc3-c3ccccc3)cc1)C2=O,0.4103633761405945,0.020807396620512,278.2835998535156,35.832243347167974,1.2705001831054688,0.094800728559494,-0.5077813526019619,1.7992754445056345,1.5374407768249512,0.1932322591543197
*c1ccc2c(c1)C(=O)N(c1cc(C(F)(F)F)c(C(C)(C)c3cc(C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3C(F)(F)F)cc1C)C2=O,0.409600019454956,0.023315530270338,281.62969970703125,28.965830230712896,1.292599320411682,0.0839533865451813,-0.0555173278498313,1.7587533506196218,1.9634556770324707,0.2949475526809693
*C(=O)c1ccc2c(c1)C(=O)N(c1cc(C)c(N3C(=O)c4ccc(C(*)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc1C)C2=O,0.4018242955207824,0.0177059508860111,304.47412109375,35.0044090270996,1.3466562032699585,0.1056817919015884,-0.087246696328677,1.26474188259557,1.6312050819396973,0.2295859903097152
*c1ccc(-c2ccc(N(*)c3ccc([Si](C)(C)N)cc3)cc2)cc1,0.4204103052616119,0.0198236264288425,214.86053466796875,31.918763351440436,1.2720404863357544,0.0850698739290237,-0.5810480277035288,1.853103842818196,1.677537202835083,0.2475643008947372
*C(=O)c1ccc2c(c1)C(=O)N(c1cc(C(C)(C)C)c(N3C(=O)c4ccc(*)cc4C3=O)c(C(C)(C)O)c1)C2=O,0.4011561572551727,0.0163489662110805,237.0282440185547,26.076084899902327,1.3306351900100708,0.0785230308771133,-0.4436974992327127,1.7275140997207497,1.5411791801452637,0.23931585252285
*c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc(C(*)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(C(C)(C)C)c1)C2=O,0.4082385599613189,0.018167907744646,272.49383544921875,30.96441459655763,1.3867251873016355,0.0797194808721541,-0.2479515521805615,1.5788476891479282,1.780386209487915,0.2647969931364059
*Oc1ccc(-c2ccc(-c3cc(C)c(*)c(C(C)(C)C)c3)cc2Br)cc1,0.4042881727218628,0.0143175616860389,286.2860717773437,35.60920524597168,1.2511945962905884,0.0702948361635208,-0.0583396608085123,2.1832657722102065,1.71785306930542,0.2577197730541229
*/C(=C\c1ccc(*)cc1)c1ccc(I)cc1,0.4005143642425537,0.0119142159819602,219.8221740722656,30.10422744750976,1.3319306373596191,0.0833128780126571,-1.2078343878162348,1.068431556869916,1.8065522909164429,0.2282011806964875
*c1ccc(-c2ccc(-c3ccc(*)c(Cl)c3F)s2)cc1,0.4269243478775024,0.0243241541087627,225.6743927001953,23.44822158813476,1.3620868921279907,0.1111554443836211,-0.6676790122219372,1.132008366639166,1.5821374654769895,0.2194256395101547
*c1ccc2c(c1)C(=O)N(c1ccc(C(C)(C)C)c(N3C(=O)c4ccc(C(*)(F)C(F)(F)F)cc4C3=O)c1)C2=O,0.4016309380531311,0.0139915958046913,254.9148406982422,32.56050262451171,1.3364572525024414,0.0822682529687881,-0.2359886105255962,1.918346158798537,1.9919121265411377,0.289171051979065
*c1ccc(Cc2ccc(N(c3ccc(C(F)(F)F)cc3)c3ccc(-c4nnc(*)o4)cc3C(F)(F)F)cc2)cc1,0.4102123975753784,0.0189382441341877,204.7047271728516,22.91237182617188,1.278998851776123,0.0751387357711791,-0.0731508941119127,1.6505149978319906,1.601596713066101,0.2646797388792037
*c1ccc(-c2cc(O)c(C(C)(C)c3cc(S(*)(=O)=O)cc(S(=O)(=O)O)c3)c(C(C)(C)C)c2)cc1Br,0.4030610620975494,0.017499029636383,312.7186279296875,38.21171264648439,1.2413687705993652,0.0815796524286269,-0.0302391257216276,1.6714679681157187,2.0697524547576904,0.3031124949455261
*c1ccc(C(c2ccccc2)(c2ccccc2)c2ccc(-c3ccc(N(*)c4ccc(F)cc4)cc3)cc2)cc1,0.4299157261848449,0.0279101677238941,231.74449157714844,27.753977203369143,1.2123132944107056,0.082513728737831,-0.0757207139381183,1.089900652736748,1.697962760925293,0.2540309846401215
